id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mcl267,microbiology_culture,organism_category,enterococcus_casseliflavus,enterococcus_casseliflavus,2.1;3.0,,active,,,,,UNMAPPED,
mcl268,microbiology_culture,organism_category,enterococcus_durans,enterococcus_durans,2.1;3.0,,active,,,,,UNMAPPED,
mcl269,microbiology_culture,organism_category,enterococcus_faecalis,enterococcus_faecalis,2.1;3.0,,active,,,,,UNMAPPED,
mcl270,microbiology_culture,organism_category,enterococcus_faecium,enterococcus_faecium,2.1;3.0,,active,,,,,UNMAPPED,
mcl271,microbiology_culture,organism_category,enterococcus_gallinarum,enterococcus_gallinarum,2.1;3.0,,active,,,,,UNMAPPED,
mcl272,microbiology_culture,organism_category,enterococcus_hirae,enterococcus_hirae,2.1;3.0,,active,,,,,UNMAPPED,
mcl273,microbiology_culture,organism_category,enterococcus_raffinosus,enterococcus_raffinosus,2.1;3.0,,active,,,,,UNMAPPED,
mcl274,microbiology_culture,organism_category,enterococcus_saccharolyticus,enterococcus_saccharolyticus,2.1;3.0,,active,,,,,UNMAPPED,
mcl275,microbiology_culture,organism_category,enterococcus_sp,enterococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl276,microbiology_culture,organism_category,epicoccum_sp,epicoccum_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl277,microbiology_culture,organism_category,erysipelothrix_rhusiopathiae,erysipelothrix_rhusiopathiae,2.1;3.0,,active,,,,,UNMAPPED,
mcl278,microbiology_culture,organism_category,escherichia_coli,escherichia_coli,2.1;3.0,,active,,,,,UNMAPPED,
mcl279,microbiology_culture,organism_category,escherichia_hermannii,escherichia_hermannii,2.1;3.0,,active,,,,,UNMAPPED,
mcl280,microbiology_culture,organism_category,escherichia_sp,escherichia_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl281,microbiology_culture,organism_category,eubacterium_callanderi,eubacterium_callanderi,2.1;3.0,,active,,,,,UNMAPPED,
mcl282,microbiology_culture,organism_category,eubacterium_sp,eubacterium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl283,microbiology_culture,organism_category,ewingella_americana,ewingella_americana,2.1;3.0,,active,,,,,UNMAPPED,
mcl284,microbiology_culture,organism_category,exiguobacterium_acetylicum,exiguobacterium_acetylicum,2.1;3.0,,active,,,,,UNMAPPED,
mcl285,microbiology_culture,organism_category,exophiala_dermatitidis,exophiala_dermatitidis,2.1;3.0,,active,,,,,UNMAPPED,
mcl286,microbiology_culture,organism_category,facklamia_hominis,facklamia_hominis,2.1;3.0,,active,,,,,UNMAPPED,
mcl287,microbiology_culture,organism_category,facklamia_sp,facklamia_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl288,microbiology_culture,organism_category,finegoldia_magna,finegoldia_magna,2.1;3.0,,active,,,,,UNMAPPED,
mcl289,microbiology_culture,organism_category,francisella_tularensis,francisella_tularensis,2.1;3.0,,active,,,,,UNMAPPED,
mcl290,microbiology_culture,organism_category,fungus_other,fungus_other,2.1;3.0,,active,,,,,UNMAPPED,
mcl291,microbiology_culture,organism_category,fusarium_proliferatum,fusarium_proliferatum,2.1;3.0,,active,,,,,UNMAPPED,
mcl292,microbiology_culture,organism_category,fusarium_solani,fusarium_solani,2.1;3.0,,active,,,,,UNMAPPED,
mcl293,microbiology_culture,organism_category,fusarium_sp,fusarium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl294,microbiology_culture,organism_category,fusobacterium_gonidiaformans,fusobacterium_gonidiaformans,2.1;3.0,,active,,,,,UNMAPPED,
mcl295,microbiology_culture,organism_category,fusobacterium_necrophorum,fusobacterium_necrophorum,2.1;3.0,,active,,,,,UNMAPPED,
mcl296,microbiology_culture,organism_category,fusobacterium_nucleatum,fusobacterium_nucleatum,2.1;3.0,,active,,,,,UNMAPPED,
mcl297,microbiology_culture,organism_category,fusobacterium_sp,fusobacterium_sp,2.1;3.0,,active,,,,,UNMAPPED,
